Contract Name,Contract Address,Gas Used,Fee (Wei),Fee (ETH),Chain,Chain ID,Deployment Name,Deployed At
Dispatcher,0x6C9a5C571baF750724f6ddeec5231c1A4A180b08,2404375,217847995344375,0.000217847995344375,ETHEREUM,1,ethereum-deployment,2025-11-08T09:31:38.915Z
UintListRegistry,0x2a3A06B01e372A56AA98d94a4a5AfccB33E7B6EB,1180402,99143129036774,0.000099143129036774,ETHEREUM,1,ethereum-deployment,2025-11-08T09:32:06.187Z
AddressListRegistry,0xD83C241c47a0932EA97d777FE37103aA1C09B9A7,1215437,111345106692818,0.000111345106692818,ETHEREUM,1,ethereum-deployment,2025-11-08T09:32:16.984Z
ExternalPositionFactory,0xdaBB0574B249e69cc0e40756CE99343cBfC5D294,1507239,140127937482528,0.000140127937482528,ETHEREUM,1,ethereum-deployment,2025-11-08T09:32:27.885Z
GasRelayPaymasterLib,0xcFEE69Aab12E8A3A1689deCd92e4Ef7b986CBe7B,1633170,150170375093970,0.00015017037509397,ETHEREUM,1,ethereum-deployment,2025-11-08T09:32:38.550Z
GasRelayPaymasterFactory,0xacB0d58A24b30D0928B76Eb002B27FA3f31b9b83,517296,47917145033472,0.000047917145033472,ETHEREUM,1,ethereum-deployment,2025-11-08T09:32:53.122Z
FundDeployer,0x969C49B61cDC2D6fbE6F2AcA3C5576C340c19B85,3956438,412285373472038,0.000412285373472038,ETHEREUM,1,ethereum-deployment,2025-11-08T09:33:03.712Z
FeeManager,0x68E77649414232dD120ACf627af4Ced6f488e5d7,1659706,174255215024896,0.000174255215024896,ETHEREUM,1,ethereum-deployment,2025-11-08T09:33:19.029Z
PolicyManager,0x7D7c6E35D41E7cdFAF8DcD5cB9E8258158C4716d,1865499,190095402106935,0.000190095402106935,ETHEREUM,1,ethereum-deployment,2025-11-08T09:33:51.502Z
ValueInterpreter,0xa926Ef949b6B7826F578667a3f46ddcac5Cf17b7,2404967,258227776151230,0.00025822777615123,ETHEREUM,1,ethereum-deployment,2025-11-08T09:34:02.979Z
IntegrationManager,0x78ee6164791C6bf939a76E2c20Db91c051D09Cbe,2177166,229073631860214,0.000229073631860214,ETHEREUM,1,ethereum-deployment,2025-11-08T09:34:14.423Z
ExternalPositionManager,0xc638EDDA0Ef92a06B8aA073237c1E42771D80ee8,2075750,218368051018250,0.00021836805101825,ETHEREUM,1,ethereum-deployment,2025-11-08T09:34:29.164Z
ProtocolFeeTracker,0x54253c58749FDD74dA46912a136c220307ec30d9,664290,68943012812190,0.00006894301281219,ETHEREUM,1,ethereum-deployment,2025-11-08T09:34:39.634Z
GlobalConfigLib,0x5546A6F7626a7c57B6f0ba9d7ce0C571b941F3b3,822972,85059126950880,0.00008505912695088,ETHEREUM,1,ethereum-deployment,2025-11-08T09:34:54.217Z
GlobalConfigProxy,0xd8D969bc8a4C4Bb0Db60991E5c788189FE8C4D42,137126,13675412937186,0.000013675412937186,ETHEREUM,1,ethereum-deployment,2025-11-08T09:35:18.139Z
FundValueCalculator,0x2092fE2E576224757179bDA4838cd6e16FdC96dC,875144,88914131567920,0.00008891413156792,ETHEREUM,1,ethereum-deployment,2025-11-08T09:35:28.648Z
FundValueCalculatorRouter,0x94e3fE1F836B800cA2D52128E06Ca13c26F6D434,838679,83653614160784,0.000083653614160784,ETHEREUM,1,ethereum-deployment,2025-11-08T09:35:39.098Z
AaveV3ATokenListOwner,0xaBe67e493c8e5Ce361ff2e2f2414a7CF1858343B,539005,51524663519905,0.000051524663519905,ETHEREUM,1,ethereum-deployment,2025-11-08T09:36:27.221Z
UnpermissionedActionsWrapper,0x55eAda4f3AF1dFbA0c56E3Bf1fA500c4Fb3DC027,411127,39858654523599,0.000039858654523599,ETHEREUM,1,ethereum-deployment,2025-11-08T09:36:42.047Z
AaveV3FlashLoanAssetManagerLib,0x7ACb8F0D64D4b699ccC2949ab52dD62b5823A73C,1172645,125383862318585,0.000125383862318585,ETHEREUM,1,ethereum-deployment,2025-11-08T09:36:52.724Z
ProtocolFeeReserveLib,0x99f17892a833f704425A70B6041361152e1310e1,480224,51342284556800,0.0000513422845568,ETHEREUM,1,ethereum-deployment,2025-11-08T09:37:15.637Z
ProtocolFeeReserveProxy,0x4aff79C1638A1cf0944f4268e46D3DbD3758780a,137178,15109431577092,0.000015109431577092,ETHEREUM,1,ethereum-deployment,2025-11-08T09:37:26.172Z
VaultLib,0xDeF578f9AA0662E4A87230676881FEEcE70FCC7B,4256064,455337058462848,0.000455337058462848,ETHEREUM,1,ethereum-deployment,2025-11-08T09:37:41.716Z
EntranceRateBurnFee,0xCa2BCA3CE408Af14d058e633a7dFD0a737f1AdAa,555782,65517020523816,0.000065517020523816,ETHEREUM,1,ethereum-deployment,2025-11-08T09:37:52.169Z
ExitRateDirectFee,0x3905164a57F25b9742EB2e9DB0560B362b079419,728605,96160285339520,0.00009616028533952,ETHEREUM,1,ethereum-deployment,2025-11-08T09:38:02.591Z
AllowedExternalPositionTypesPolicy,0x12E0bD6B83E2640CF5Ef0515dBee272DE470e770,716664,90483519849216,0.000090483519849216,ETHEREUM,1,ethereum-deployment,2025-11-08T09:38:17.715Z
NoDepegOnRedeemSharesForSpecificAssetsPolicy,0x3636e48B2FcAbE08b39e7738b50e6438c5207e44,990870,121148304384600,0.0001211483043846,ETHEREUM,1,ethereum-deployment,2025-11-08T09:38:28.057Z
MinSharesSupplyFee,0xA8f8b668B136bcCA7Ea77e3322E9Ab7dc010bE7a,389867,42149367771257,0.000042149367771257,ETHEREUM,1,ethereum-deployment,2025-11-08T09:38:50.885Z
AllowedAdaptersPolicy,0x2BF8cC0aF37247eBe501B38b26D896Caa6ad32f1,1093749,126665922159801,0.000126665922159801,ETHEREUM,1,ethereum-deployment,2025-11-08T09:39:01.413Z
EntranceRateDirectFee,0x14a8704277612ca01388fAc0E222054FDd2bd5aA,683224,76945534077760,0.00007694553407776,ETHEREUM,1,ethereum-deployment,2025-11-08T09:39:15.948Z
AllowedAdapterIncomingAssetsPolicy,0x81Bbf7A7BE5fBF6C75d7Da1EB29A18D087Ce4ac4,1125451,129339620038480,0.00012933962003848,ETHEREUM,1,ethereum-deployment,2025-11-08T09:39:26.345Z
ManagementFee,0x196943015D8AaE9BAFECb4d131Ea3668582585Aa,969908,111472385778488,0.000111472385778488,ETHEREUM,1,ethereum-deployment,2025-11-08T09:39:46.385Z
AllowedAdaptersPerManagerPolicy,0x4AB250b7946e024ac31da43f28F1a60e9ef7623a,1255665,129933312358185,0.000129933312358185,ETHEREUM,1,ethereum-deployment,2025-11-08T09:40:18.010Z
AllowedAssetsForRedemptionPolicy,0x7707742822a61A8B5B3f7313dBda9F53918A8B17,1102782,115288671269706,0.000115288671269706,ETHEREUM,1,ethereum-deployment,2025-11-08T09:40:41.073Z
MinMaxInvestmentPolicy,0x9CF051305e16b83aCF2c3b2866340062b0D83eFb,595380,63598641635760,0.00006359864163576,ETHEREUM,1,ethereum-deployment,2025-11-08T09:40:55.707Z
ExitRateBurnFee,0x3BC5744290ef402E4B8bcA83A4A952b2d2a689c1,597719,62397285670179,0.000062397285670179,ETHEREUM,1,ethereum-deployment,2025-11-08T09:41:02.053Z
PerformanceFee,0x6555E0f057D5298b23a4F0C033073A148FEe13f8,1053742,107722669526690,0.00010772266952669,ETHEREUM,1,ethereum-deployment,2025-11-08T09:41:16.612Z
AllowedSharesTransferRecipientsPolicy,0xe8f415064D1DA5cf5176C51a01917FeC4415E58A,995365,98564981954670,0.00009856498195467,ETHEREUM,1,ethereum-deployment,2025-11-08T09:41:26.970Z
AllowedDepositRecipientsPolicy,0x8c835dBEaA8560C596827554C0A665F344F447c1,998097,90979060746828,0.000090979060746828,ETHEREUM,1,ethereum-deployment,2025-11-08T09:41:54.040Z
AllowedExternalPositionTypesPerManagerPolicy,0x5499DEb0D19058b4258eCB55B8815B14F8eaccc6,1432184,135622878036464,0.000135622878036464,ETHEREUM,1,ethereum-deployment,2025-11-08T09:42:04.945Z
DisallowedAdapterIncomingAssetsPolicy,0xC00d4512CCf927BC2815F8951270E9aC437E21A7,1181106,106570566031608,0.000106570566031608,ETHEREUM,1,ethereum-deployment,2025-11-08T09:42:15.299Z
MinAssetBalancesPostRedemptionPolicy,0xDAE5d4E7Df14b646fd2353434d9f5a15d5fbeba4,664086,58957640083008,0.000058957640083008,ETHEREUM,1,ethereum-deployment,2025-11-08T09:42:38.150Z
AllowedRedeemersForSpecificAssetsPolicy,0xaE7A403F43d8A2ba79E7Be9224786490b6Bd6cC8,1110300,102082053439500,0.0001020820534395,ETHEREUM,1,ethereum-deployment,2025-11-08T09:42:53.319Z
OnlyUntrackDustOrPricelessAssetsPolicy,0x5e22A967Ae00E484166Abdc8Daf12528da12483F,963545,87757048122150,0.00008775704812215,ETHEREUM,1,ethereum-deployment,2025-11-08T09:43:04.421Z
CumulativeSlippageTolerancePolicy,0x9B5a95A20A2DEc777619c85AECD0EB30e271223E,1465388,135443285045700,0.0001354432850457,ETHEREUM,1,ethereum-deployment,2025-11-08T09:43:15.235Z
OnlyRemoveDustExternalPositionPolicy,0x18bd7E40DC86Ddb02e56064224fC67901f3B7Edd,1092194,98806270589034,0.000098806270589034,ETHEREUM,1,ethereum-deployment,2025-11-08T09:43:38.297Z
OneInchV5Adapter,0x8ae70afCF6C4880695c74e5B903B89282361f31f,1853260,168425456739660,0.00016842545673966,ETHEREUM,1,ethereum-deployment,2025-11-08T09:43:53.455Z
ManualValueOracleLib,0xEE17a239D42F20Ecd1C5678d8eaa3aA3eD13410f,415134,36187519713264,0.000036187519713264,ETHEREUM,1,ethereum-deployment,2025-11-08T09:44:28.970Z
ManualValueOracleFactory,0xA01731e23D4A041C676085564EfE99522d58bd00,717676,64968693543296,0.000064968693543296,ETHEREUM,1,ethereum-deployment,2025-11-08T09:44:39.480Z
TransferAssetsAdapter,0x39c98fC80F1745023173a257dBbC2A96D6cc0E95,938309,83700457202899,0.000083700457202899,ETHEREUM,1,ethereum-deployment,2025-11-08T09:44:50.082Z
DispatcherOwnedBeaconFactory,0xa04bE1d32AdB09eD773f5B5ecc9bea1dF6495183,767417,68856662226408,0.000068856662226408,ETHEREUM,1,ethereum-deployment,2025-11-08T09:45:04.891Z
DepositWrapper,0xf5422e0B45c79bf5DAa767A07414b809DBBb2F9b,1011884,94981419557628,0.000094981419557628,ETHEREUM,1,ethereum-deployment,2025-11-08T09:45:15.529Z
